"feature","frequency","rank","docfreq","group"
"expected",66,692,66,"all"
"questions",66,692,63,"all"
"website",66,692,60,"all"
"she's",66,692,51,"all"
"wants",66,692,64,"all"
"issue",66,692,64,"all"
"ohio",66,692,58,"all"
"fans",66,692,57,"all"
"happen",65,701,65,"all"
"hold",65,701,64,"all"
"wonderful",65,701,61,"all"
"huge",65,701,64,"all"
"private",65,701,58,"all"
"stories",65,701,57,"all"
"main",65,701,63,"all"
"round",65,701,57,"all"
"card",64,709,58,"all"
"design",64,709,53,"all"
"loss",64,709,58,"all"
"cost",64,709,55,"all"
"haha",64,709,63,"all"
"break",64,709,62,"all"
"quickly",63,715,62,"all"
"earlier",63,715,63,"all"
"tried",63,715,62,"all"
"seven",63,715,53,"all"
"longer",63,715,63,"all"
"allow",63,715,59,"all"
"sent",63,715,61,"all"
"oil",63,715,53,"all"
"doesn’t",62,723,60,"all"
"father",62,723,53,"all"
"cover",62,723,58,"all"
"anyway",62,723,61,"all"
"yesterday",62,723,60,"all"
"sleep",62,723,57,"all"
"wrote",62,723,60,"all"
"feet",62,723,56,"all"
"united",62,723,55,"all"
"tax",62,723,48,"all"
"cleveland",62,723,58,"all"
"teams",62,723,57,"all"
"happened",61,735,58,"all"
"major",61,735,59,"all"
"medical",61,735,56,"all"
"weather",61,735,55,"all"
"scene",61,735,55,"all"
"trip",61,735,60,"all"
"yourself",61,735,60,"all"
"return",61,735,59,"all"
"rock",61,735,58,"all"
"write",61,735,59,"all"
"warm",61,735,59,"all"
"james",61,735,54,"all"
"control",60,747,59,"all"
"record",60,747,50,"all"
"couldn't",60,747,57,"all"
"send",60,747,57,"all"
"exactly",60,747,60,"all"
"deep",60,747,57,"all"
"problems",60,747,55,"all"
"moved",60,747,57,"all"
"difficult",60,747,60,"all"
"spend",60,747,56,"all"
"won't",60,747,59,"all"
"tv",60,747,56,"all"
"louis",60,747,54,"all"
"conference",59,760,55,"all"
"dog",59,760,50,"all"
"development",59,760,54,"all"
"helped",59,760,59,"all"
"points",59,760,54,"all"
"wall",59,760,55,"all"
"study",59,760,55,"all"
"continue",59,760,55,"all"
"costs",59,760,56,"all"
"press",59,760,55,"all"
"budget",59,760,52,"all"
"recent",59,760,57,"all"
"paul",59,760,56,"all"
"due",59,760,57,"all"
"extra",59,760,56,"all"
"daily",59,760,57,"all"
"step",59,760,58,"all"
"economy",59,760,57,"all"
"gonna",59,760,57,"all"
"services",59,760,52,"all"
"fan",59,760,57,"all"
"simple",58,781,57,"all"
"fine",58,781,54,"all"
"result",58,781,56,"all"
"afternoon",58,781,57,"all"
"waiting",58,781,56,"all"
"moving",58,781,53,"all"
"force",58,781,54,"all"
"chicago",58,781,55,"all"
"created",58,781,53,"all"
"crazy",58,781,56,"all"
"personal",58,781,56,"all"
"whose",58,781,57,"all"
"seem",58,781,56,"all"
"michael",57,794,54,"all"
"site",57,794,55,"all"
"usually",57,794,54,"all"
"you’re",57,794,46,"all"
"lunch",57,794,54,"all"
"cheese",57,794,49,"all"
"sugar",57,794,45,"all"
"key",57,794,55,"all"
"sorry",57,794,56,"all"
"husband",57,794,53,"all"
"training",57,794,50,"all"
"los",57,794,53,"all"
"involved",56,806,52,"all"
"lovely",56,806,53,"all"
"held",56,806,54,"all"
"middle",56,806,54,"all"
"river",56,806,49,"all"
"definitely",56,806,52,"all"
"blue",56,806,48,"all"
"facebook",56,806,52,"all"
"daughter",56,806,52,"all"
"answer",56,806,56,"all"
"provide",56,806,51,"all"
"jersey",56,806,53,"all"
"higher",56,806,50,"all"
"fresh",55,819,53,"all"
"band",55,819,49,"all"
"learned",55,819,50,"all"
"potential",55,819,54,"all"
"sound",55,819,52,"all"
"finish",55,819,53,"all"
"attention",55,819,55,"all"
"chris",55,819,54,"all"
"jobs",55,819,51,"all"
"space",55,819,49,"all"
"ahead",55,819,54,"all"
"bed",55,819,50,"all"
"entire",55,819,53,"all"
"hair",55,819,46,"all"
"completely",55,819,55,"all"
"kept",55,819,54,"all"
"results",55,819,47,"all"
"manager",55,819,51,"all"
"practice",55,819,49,"all"
"offer",54,838,50,"all"
"issues",54,838,53,"all"
"hands",54,838,49,"all"
"total",54,838,52,"all"
"success",54,838,51,"all"
"similar",54,838,52,"all"
"became",54,838,50,"all"
"walking",54,838,53,"all"
"wouldn't",54,838,53,"all"
"staff",54,838,51,"all"
"football",54,838,48,"all"
"growing",54,838,49,"all"
"further",54,838,53,"all"
"fourth",54,838,48,"all"
"residents",54,838,52,"all"
"june",54,838,49,"all"
"career",54,838,51,"all"
"member",54,838,48,"all"
"player",54,838,47,"all"
"i’ll",53,857,50,"all"
"places",53,857,49,"all"
"plus",53,857,51,"all"
"email",53,857,52,"all"
"ground",53,857,51,"all"
"situation",53,857,48,"all"
"floor",53,857,46,"all"
"league",53,857,51,"all"
"character",53,857,45,"all"
"financial",53,857,51,"all"
"wine",53,857,43,"all"
"size",53,857,49,"all"
"focus",53,857,51,"all"
"cup",53,857,49,"all"
"coffee",53,857,40,"all"
"seriously",53,857,51,"all"
"wife",53,857,52,"all"
"account",53,857,49,"all"
"despite",53,857,53,"all"
"angeles",53,857,49,"all"
"example",52,877,52,"all"
"winning",52,877,48,"all"
"throughout",52,877,52,"all"
"date",52,877,47,"all"
"paid",52,877,48,"all"
"changes",52,877,50,"all"
"test",52,877,48,"all"
"brought",52,877,51,"all"
"met",52,877,51,"all"
"below",52,877,50,"all"
"quality",52,877,49,"all"
"funny",52,877,49,"all"
"cold",52,877,46,"all"
"current",52,877,49,"all"
"album",52,877,42,"all"
"position",52,877,48,"all"
"original",52,877,50,"all"
"club",52,877,49,"all"
"economic",52,877,51,"all"
"rose",52,877,46,"all"
"simply",51,897,51,"all"
"complete",51,897,50,"all"
"christmas",51,897,44,"all"
"mine",51,897,50,"all"
"seeing",51,897,51,"all"
"popular",51,897,49,"all"
"biggest",51,897,50,"all"
"trade",51,897,44,"all"
"vote",51,897,48,"all"
"decision",51,897,44,"all"
"price",51,897,48,"all"
"video",51,897,47,"all"
"campaign",51,897,45,"all"
"knows",50,910,50,"all"
"certainly",50,910,50,"all"
"opening",50,910,47,"all"
"ideas",50,910,43,"all"
"low",50,910,48,"all"
"missed",50,910,46,"all"
"etc",50,910,48,"all"
"lose",50,910,48,"all"
"beat",50,910,49,"all"
"particularly",50,910,50,"all"
"okay",50,910,50,"all"
"listen",50,910,48,"all"
"haven't",50,910,49,"all"
"sales",50,910,46,"all"
"goals",50,910,44,"all"
"o",50,910,44,"all"
"double",49,926,47,"all"
"save",49,926,46,"all"
"security",49,926,47,"all"
"sit",49,926,49,"all"
"winter",49,926,41,"all"
"table",49,926,46,"all"
"restaurant",49,926,41,"all"
"bar",49,926,45,"all"
"runs",49,926,47,"all"
"whatever",49,926,47,"all"
"mostly",49,926,47,"all"
"pieces",49,926,42,"all"
"areas",49,926,46,"all"
"serve",49,926,46,"all"
"kitchen",49,926,45,"all"
"dad",49,926,47,"all"
"bought",49,926,48,"all"
"included",49,926,48,"all"
"hall",49,926,41,"all"
"wear",49,926,44,"all"
"birthday",49,926,46,"all"
"action",49,926,49,"all"
"particular",49,926,48,"all"
"plays",49,926,46,"all"
"tweet",49,926,47,"all"
"sign",48,951,45,"all"
"chocolate",48,951,43,"all"
"salt",48,951,43,"all"
"peace",48,951,43,"all"
"families",48,951,45,"all"
